Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,5,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 2, 4, 4, 6, 6, 7, 9, 10, 10, 11, 12]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J1', 'C4;Q1;J1', 'C4;Q2;J0', 'C4;Q2;J1', 'pass']",,,,
1,5,,RANDOM_01,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,5,,RANDOM_03,DECLARE_PIZZA,,,,,,,,,,
1,6,,RANDOM_03,DISCARD,C11;Q3;J0,False,"[0, 0, 0, 0, 0, 2, 4, 5, 7, 8, 8, 8, 8, 9, 9, 10, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'C4;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C8;Q4;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
1,6,,RANDOM_04,DISCARD,C6;Q2;J1,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 7, 9, 10, 10, 11]","[11, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q2;J1', 'C6;Q2;J1', 'C10;Q2;J1', 'pass']",,,,
1,6,,RANDOM_01,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8]","[6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,6,,RANDOM_02,DISCARD,pass,False,"[0, 0, 4, 5, 5, 6, 6, 7, 7, 7, 8, 9, 10, 10, 11, 11, 11]","[6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,6,,RANDOM_03,DISCARD,pass,False,"[0, 0, 0, 0, 0, 2, 4, 5, 7, 8, 8, 8, 8, 9, 9, 10, 10]","[6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 12, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,6,,RANDOM_04,DECLARE_PIZZA,,,,,,,,,,
1,7,,RANDOM_04,DISCARD,C10;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 7, 9, 10, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'C4;Q1;J0', 'C4;Q2;J0', 'C7;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'pass']",,,,
1,7,,RANDOM_01,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 8]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'pass']",,,,
1,7,,RANDOM_02,DISCARD,C9;Q1;J0,False,"[0, 0, 0, 4, 5, 5, 6, 6, 7, 7, 7, 8, 10, 10, 11, 11, 11]","[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C7;Q3;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'pass']",,,,
1,7,,RANDOM_03,DISCARD,C2;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 4, 5, 7, 8, 8, 8, 8, 9, 9, 10, 10]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'C4;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C8;Q4;J0', 'pass']",,,,
1,7,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 7, 9, 10, 11]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,7,,RANDOM_02,DISCARD,pass,False,"[0, 0, 0, 4, 5, 5, 6, 6, 7, 7, 7, 8, 10, 10, 11, 11, 11]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,7,,RANDOM_03,DECLARE_PIZZA,,,,,,,,,,
1,8,,RANDOM_03,DISCARD,C10;Q2;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 7, 8, 8, 8, 8, 9, 9]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C8;Q4;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
1,8,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 7, 9, 10, 11]","[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q2;J0', 'pass']",,,,
1,8,,RANDOM_01,DISCARD,C8;Q3;J0,True,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0]","['C8;Q2;J0', 'C8;Q3;J0', 'pass']",,,,
1,8,,RANDOM_02,DISCARD,C7;Q3;J0,False,"[0, 0, 0, 0, 0, 0, 4, 5, 5, 6, 6, 8, 10, 10, 11, 11, 11]","[8, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0]","['C7;Q3;J0', 'pass']",,,,
1,8,,RANDOM_03,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 7, 8, 8, 8, 8, 9, 9]","[7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,8,,RANDOM_02,DECLARE_PIZZA,,,,,,,,,,
1,9,,RANDOM_02,DISCARD,C10;Q2;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 6, 6, 8, 11, 11, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C8;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
1,9,,RANDOM_03,DISCARD,C8;Q2;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 7, 8, 8, 9, 9]","[10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C8;Q2;J0', 'C8;Q3;J0', 'C8;Q4;J0', 'C9;Q2;J0', 'pass']",,,,
1,9,,RANDOM_04,DISCARD,C4;Q2;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 9, 10, 11]","[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q2;J0', 'pass']",,,,
1,9,,RANDOM_02,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 6, 6, 8, 11, 11, 11]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,9,,RANDOM_03,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 7, 8, 8, 9, 9]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,9,,RANDOM_04,DECLARE_PIZZA,,,,,,,,,,
1,10,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 9, 10, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'C7;Q1;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
1,10,,RANDOM_02,DISCARD,C11;Q2;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 6, 6, 8, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C8;Q1;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'pass']",,,,
1,10,,RANDOM_03,DISCARD,C8;Q2;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 7, 9, 9]","[11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C8;Q2;J0', 'C9;Q2;J0', 'pass']",,,,
1,10,,RANDOM_02,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 6, 6, 8, 11]","[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C5;Q2;J0', 'C6;Q2;J0', 'pass']",,,,
1,10,,RANDOM_03,DECLARE_PIZZA,,,,,,,,,,
1,11,,RANDOM_03,DISCARD,C7;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 9, 9]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C7;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'pass']",,,,
1,11,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 9, 10, 11]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'pass']",,,,
1,11,,RANDOM_02,DISCARD,C5;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 6, 6, 8, 11]","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'pass']",,,,
1,11,,RANDOM_03,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 9, 9]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'pass']",,,,
1,11,,RANDOM_02,DECLARE_PIZZA,,,,,,,,,,
1,12,,RANDOM_02,DISCARD,C6;Q2;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 8, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C8;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
1,12,,RANDOM_03,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 9, 9]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,12,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 9, 10, 11]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['pass'],,,,
1,12,,RANDOM_02,DECLARE_PIZZA,,,,,,,,,,
1,13,,RANDOM_02,DISCARD,C5;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C8;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
1,13,,RANDOM_03,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 9, 9]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'pass']",,,,
1,13,,RANDOM_04,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 9, 10, 11]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'pass']",,,,
1,13,,RANDOM_02,DECLARE_PIZZA,,,,,,,,,,
1,14,,RANDOM_02,DISCARD,pass,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 11]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C8;Q1;J0', 'C11;Q1;J0', 'pass']",,,,
1,14,,RANDOM_03,DISCARD,C4;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 9]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C4;Q1;J0', 'C5;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'pass']",,,,
1,14,,RANDOM_04,DISCARD,C2;Q1;J0,False,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 10, 11]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['C2;Q1;J0', 'pass']",,,,
